ts,cheval,cavalier,discipline,epreuve,hauteur,classement_estime,proba,verdict,is_cold_start,model_name,snapshot,id
2026-05-25T05:55:04,JUST MAGIC,Voir sa fiche,Equifun 60 cm,Club Poney Cadet Chp des Territoires individuel,,2,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,d6352bb0a730
2026-05-25T05:55:04,BABACOOL DES PTICLOS,Voir sa fiche,Equifun 30 cm,Club A Moustique individuel,,1,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,400d4c9f6e34
2026-05-25T05:55:04,BABACOOL DES PTICLOS,Voir sa fiche,Equifun 30 cm,Club A Moustique individuel,,2,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,172a4605da92
2026-05-25T05:55:04,CEDILLE SODH,Voir sa fiche,Equifun 40 cm,Club Poney B Benjamin individuel,,1,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,e609ae327c9c
2026-05-25T05:55:04,UN AMOUR,Voir sa fiche,Equifun 40 cm,Club Poney B Benjamin individuel,,2,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,6228916b5920
2026-05-25T05:55:04,TOM,Voir sa fiche,Equifun 30 cm,Club A Poussin individuel,,1,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,e430461d6b92
2026-05-25T05:55:04,TOM,Voir sa fiche,Equifun 30 cm,Club A Poussin individuel,,2,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,b77f6e5c9b6e
2026-05-25T05:55:04,THALES DE CABUE,Voir sa fiche,Equifun 30 cm,Club A Moustique Circuit Dpt individuel,,2,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,708b81200d8e
2026-05-25T05:55:04,TURLUPIN DU PRE PRINCE,Voir sa fiche,Equifun 30 cm,Club A Moustique Circuit Dpt individuel,,1,100,cold-start,True,LightGBM,crawl-predict:c36a23a6,6192ce9a1def
2026-05-25T05:55:04,VENUS DU VALLON,Voir sa fiche,Equifun 30 cm,Club A Moustique Circuit Dpt individuel,,3,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,0368b253171c
2026-05-25T05:55:04,VENUS DU VALLON,Voir sa fiche,Equifun 30 cm,Club A Moustique Circuit Dpt individuel,,4,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,71e4b4b9ff6d
